name,os,processor,generation,ram,ssd,hdd,display,price
asus,windows 11,intel core i5,12,16,512,0,14.5,124990
gigabyte,windows 11,intel core i5,12,8,512,0,15.6,72990
lenovo,windows 11,other,0,32,1024,0,16.0,189990
acer,windows 11,intel core i5,11,8,512,0,15.6,65999
asus,windows 11,intel core other,0,8,256,0,14.1,28500
msi,windows 10,intel core i7,11,16,1024,0,15.6,129990
lenovo,other,intel core other,0,4,256,256,15.6,19990
hp,windows 11,intel core i5,12,8,512,0,15.6,67990
asus,windows 10,other,0,8,512,0,17.3,64590
acer,windows 10,other,0,16,256,1,15.6,115300
acer,windows 11,intel core i5,12,16,512,0,15.6,61990
acer,windows 11,other,0,4,256,0,14.0,26490
msi,windows 10,intel core i7,11,16,1024,0,15.6,114990
asus,windows 11,intel core i7,12,16,1024,0,17.3,114990
dell,windows 11,other,0,8,512,0,16.0,59990
dell,windows 11,other,0,16,512,0,16.0,63590
hp,windows 11,intel core i7,12,32,1024,0,17.3,199999
dell,windows 11,intel core i7,12,32,1024,0,17.3,300490
hp,windows 11,other,0,8,512,0,15.6,72990
acer,windows 10,intel core i3,11,8,256,1,14.0,46040
asus,windows 11,amd ryzen 5,5,8,512,0,15.6,55990
hp,windows 11,intel core other,0,8,256,0,14.0,24999
asus,windows 11,other,0,8,1024,0,17.3,76990
dell,windows 11,other,0,16,512,0,16.0,71590
dell,windows 11,other,0,8,512,0,14.0,59999
dell,windows 11,intel core i9,11,32,1024,0,17.3,323990
hp,windows 11,other,0,8,512,0,14.0,40390
hp,windows 11,other,0,8,512,0,15.6,61990
lenovo,windows 11,intel core i5,12,16,512,0,15.6,68400
dell,windows 11,intel core i5,12,8,512,0,14.0,88990
lenovo,windows 11,other,0,16,1024,0,16.0,159990
dell,windows 11,other,0,8,512,0,15.6,39490
apple,mac,apple m2 processor,0,16,512,0,13.6,150990
apple,mac,apple m1 pro,0,16,1024,0,16.2,241990
dell,windows 11,intel core i3,12,8,256,0,14.0,56749
asus,windows 11,other,0,16,1024,0,13.4,247990
asus,windows 11,intel core i9,12,16,1024,0,13.4,181990
hp,windows 11,intel core i7,12,16,1024,0,13.3,114990
dell,windows 11,other,0,16,1024,0,15.6,146990
gigabyte,windows 11,intel core i7,12,16,1024,0,15.6,149990
dell,windows 11,other,0,8,512,0,15.6,52490
msi,windows 11,intel core i7,12,16,1024,0,15.6,244990
asus,windows 10,intel core i7,11,16,1024,0,16.0,139990
msi,windows 10,intel core i5,11,8,512,0,15.6,59990
acer,windows 11,other,0,8,1024,0,15.6,84990
